exchange_nr,source,company,means_of_exchange,orig_yr,dest_yr,orig_loc_port_modern,orig_loc_region_modern,orig_loc_abr,dest_loc_port,dest_loc_region,dest_loc_abr,textile_quantity,textile_unit,textile_category,textile_subcategory,textile_name,textile_modifier_fulltext,textile_color_arch,textile_color_inf,textile_pattern_arch,textile_process_arch,textile_fiber_arch,textile_geography_arch,textile_quality_arch,textile_other_unknown_arch,textile_quality_inferred,supplier,total_value,price_per_unit
1,WIC_1.05.01.02_1301_136-138,WIC,Leusden,1719,1720,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,2500,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abraham Terborch,1842.25,0.7369
2,WIC_1.05.01.02_1301_136-138,WIC,Leusden,1719,1720,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,2500,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albartus Homoet,1842.25,0.7369
3,WIC_1.05.01.02_1303_214-216,WIC,Beekestijn,1721,1721,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,3000,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albartus Homoet,2208.95,0.7363166666666666
4,WIC_1.05.01.02_1302_225-227,WIC,Sem Galey,1721,1721,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",200,ps.,NA,NA,annebassen,dubbelde,NA,NA,NA,NA,NA,NA,NA,double,NA,Albartus Homoet,297.5,1.4875
5,WIC_1.05.01.02_1302_225-227,WIC,Sem Galey,1721,1721,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",100,ps.,NA,NA,annebassen,enkelde,NA,NA,NA,NA,NA,NA,NA,single,NA,Albartus Homoet,74.375,0.74375
6,WIC_1.05.01.02_1302_369-371,WIC,Rusthof,1721,1721,Vlissingen,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,7600,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hendrick Loox,4750,0.625
7,WIC_1.05.01.02_1302_356-359,WIC,Geertruijd Galeij,1721,1721,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",200,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jacob Groer de Jonge,151.7,0.7585
8,WIC_1.05.01.02_1302_369-371,WIC,Rusthof,1721,1721,Vlissingen,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,10,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jacobus Sluijter,7,0.7
9,WIC_1.05.01.02_1303_214-216,WIC,Beekestijn,1721,1721,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,3120,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ter Borch,2297.3,0.7363141025641026
10,WIC_1.05.01.02_1303_249-250,WIC,Leusden,1721,1722,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Allada (former Ardra),Benin (former ''Slave Coast''),"Benin (fmr ""Slave Coast"")",1000,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egbert Buijs,618.75,0.61875
11,WIC_1.05.01.02_1303_300-303,WIC,Sonnesteijn,1722,1722,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",1000,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Egbert Buijs,612.5,0.6125
12,WIC_1.05.01.02_1303_255-256,WIC,Amsterdam,1721,1722,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Angola,Angola,Angola,1000,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Albartus Homoet,618.75,0.61875
13,WIC_1.05.01.02_1303_328-331,WIC,Duijnvliet,1722,1723,Vlissingen,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",500,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joseph de Moor,306.25,0.6125
14,WIC_1.05.01.02_1302_218-220,WIC,Stad en Lande,1720,NA,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",450,ps.,NA,NA,annebassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gerart Ter Borgh,323,0.7177777777777777
15,WIC_1.05.01.02_1302_225-227,WIC,Sem Galey,1721,1721,Texel,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),Elmina,Ghana (former ''Gold Coast''),"Ghana (fmr ""Gold Coast"")",30,ps.,NA,NA,atchiabanijs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oostindische Compagnie,187.5,6.25
